,mstar,mvir,sfr,x,y,z,ssfr
0,56300807820.9,1767716939.8,7.74808737755e-10,53.5906547452,51.7037295746,64.8039098644,-19.8613201165
1,301327929.663,1.64543126056e+11,7.95659293476e-10,38.2665321998,14.788925433,9.60121962154,-17.5783122479
2,2.37167262888e+11,1424225978.19,7.36733756583e-10,2.35664737032,49.840292239,62.2291699642,-20.5077441721
3,1130097810.58,1.16805372659e+12,2.32406651404e-10,41.295748751,72.4802434944,73.6400175101,-18.6868674803
4,8481586981.79,15555947118.0,4.7239230471e-10,29.4219652663,69.5391888929,59.2576590589,-19.254174306
5,14994490759.8,5.81336372063e+12,0.0,14.0891906646,38.4137646841,68.4246657039,-12.0
6,3103023817.02,41571239499.7,3.98153850143e-10,70.747200001,37.1255298431,51.1834670216,-18.8917341893
7,9637283264.14,6.23376094878e+11,1.20165003981e-10,27.5091497853,11.5025768782,72.2329717176,-19.904176619
8,5.30498161356e+11,1739405255.92,4.22681636084e-11,68.5285165599,7.53273281068,69.3397737273,-22.0986705032
9,276202755.531,88401707399.2,2.89664461448e-11,0.836521190355,71.7280900903,57.6178804509,-18.9793327915
10,222229310.375,3.47415830433e+11,4.88514947089e-10,51.3782953781,51.3240801179,48.6195703869,-17.6579234822
11,41672064638.7,8032942368.67,3.35169536102e-10,41.2838553659,20.3210358666,63.0155509359,-20.0945804798
12,10711309735.5,9.33018130591e+11,4.30592695185e-11,23.4517644131,67.4234839369,55.8651538644,-20.3957759199
13,1067305277.97,1.04088090324e+11,5.19680278095e-10,5.42506088857,22.7887977553,12.2830663012,-18.3125524214
14,483161610.967,43791670212.8,1.27956201474e-10,54.3039542549,65.0943832369,19.146611068,-18.5770310816
15,2794488425.47,6.9885186993e+12,8.10513932131e-10,31.6115957706,53.0443471841,58.1349051035,-18.5375418307
16,43303702265.4,7430629318.8,2.50325940768e-10,13.9855625563,15.3267689512,11.1047963129,-20.2380191711
17,445225138.994,42393725751.9,7.8133951013e-10,24.3422608275,5.69900043132,54.544435716,-17.7557398923
18,150602677.776,1.60440460874e+12,5.55687588712e-10,2.47806976213,53.9751606155,13.0339573474,-17.4330019969
19,385950292.985,8.82408357748e+11,2.40951831854e-10,63.1150389475,11.2735688113,49.203980109,-18.2046011425
20,13600511420.2,3.72795302714e+11,3.32005914353e-10,8.20125567286,74.1981181627,47.6224291554,-19.6124094192
21,118290155.893,23317106723.0,3.27630159621e-10,43.8874202833,6.20466725847,61.7238465215,-17.5575647307
22,176621525.061,1.97651190904e+11,0.0,67.0500546837,23.4554248836,36.3626788713,-12.0
23,1.64859849299e+11,2.55320816374e+11,4.45579720268e-10,69.7703662603,24.5804221971,8.58502650723,-20.568189482
24,684695881.57,27933413499.8,3.91902024207e-10,40.6561364702,29.3460430968,49.3304618513,-18.242320209
25,3277776577.4,35185002789.9,2.80659692182e-11,21.3677430212,71.297854608,18.32895995,-20.0673993029
26,259886901.479,8.50430683232e+12,7.45966041247e-10,25.4044644877,54.4468249722,70.9653817461,-17.5420653338
27,2.72270729614e+11,6639311613.83,2.83890641002e-11,8.70997202816,8.3638689021,42.4062190158,-21.9818498797
28,2.3494614482e+11,2.28427207731e+11,0.0,54.2434781932,36.8548497019,64.7325466609,-12.0
29,189286989.024,2.61387613392e+11,5.25716697737e-10,56.8420335445,30.6060948534,24.4146387536,-17.5563689918
30,4.59443527179e+11,1753956764.32,0.0,47.864437995,52.5617778847,11.4426362857,-12.0
31,667234483.605,32983541917.1,3.73678510118e-10,70.9479126191,29.4267791585,62.3513191847,-18.2517803604
32,747937090.207,2357615541.41,5.00010351269e-11,10.0327094586,23.1304169794,54.1991060322,-19.1748860752
33,6918018864.46,1.07090087186e+11,5.89649015405e-10,58.3649357279,21.4541501864,5.66674161341,-19.0693881642
34,7.4755881582e+11,8.32126097643e+11,5.33797634586e-10,22.7118952846,50.5396620458,36.2012304227,-21.1462687224
35,52027621107.2,3579901382.69,7.18635043576e-11,73.9755409895,26.7698427777,1.42057722113,-20.8597255775
36,5349829694.72,6.03564418978e+12,0.0,72.3366496539,65.9786250326,19.3750994617,-12.0
37,8.83285715796e+11,2.59547642713e+12,9.28869710138e-10,61.9989753196,56.9808782046,13.2090850264,-20.9781464062
38,58697536109.6,7.745062264e+12,7.33612126734e-10,39.8835466959,12.4943844979,5.13104887952,-19.90315337
39,72535943592.9,11628798276.2,6.52304368182e-10,48.6423296173,68.5389183607,21.8904420448,-20.0461029782
40,73494821620.5,7835112290.64,7.23983422433e-10,63.405733301,47.5633757721,7.45400894765,-20.0065281182
41,1473043088.35,2059485707.13,0.0,45.7053954116,50.4494411412,40.2879324262,-12.0
42,1.95040433999e+11,1522684005.73,6.83135243969e-10,8.21095141616,40.5078514137,9.08251216953,-20.4556179628
43,366575195.031,3000518309.78,6.16657206306e-10,31.3253800958,58.4428229455,72.7970512164,-17.7741192632
44,2560305579.2,5.24039381218e+11,2.03802173669e-10,25.6436774847,17.3932762848,72.2336938257,-19.0990829909
45,2.21254556091e+11,1.59483693404e+11,3.27246369297e-10,13.8754051464,27.5179628903,38.4360640917,-20.8300173856
46,5.56435655403e+11,3401936935.15,5.61790182593e-10,43.151060993,0.82835567368,74.0105805478,-20.9958408055
47,6526264957.73,7.01056598481e+11,9.97015856537e-10,70.5915372587,20.4026176748,29.3555980468,-18.8159626362
48,2.89441941999e+11,5.83986391082e+11,5.78451532844e-10,44.6274958991,17.9597691299,49.2625841832,-20.6992944872
49,972807935.366,1.46576975052e+11,7.80612328862e-11,62.743754085,44.7720422912,10.0237502988,-19.0955916984
50,84711725809.3,86365363556.0,9.00512095899e-11,35.9426184378,26.289836501,40.1377866,-20.9734539789
51,40685691265.4,62164988979.4,5.29075973039e-10,7.66120505916,58.5478425635,64.2494654615,-19.8859236599
52,2860923338.25,1.57517538028e+12,7.32251865481e-10,70.6320654639,44.5905132479,9.56866431586,-18.5918457338
53,2507550002.82,8353213414.62,7.05411156652e-10,49.4208234974,40.4316050005,66.1239859318,-18.5508072779
54,1030545592.92,77502947481.0,0.0,18.1383754868,30.3961091882,47.7333829187,-12.0
55,8.67728816741e+11,10207774485.3,2.40355935077e-10,49.9877305418,55.0615415343,53.0152236221,-21.5575291698
56,12850082369.3,1.22653936105e+11,5.30396439801e-10,72.709086283,48.1570723583,6.36639632914,-19.3843053112
57,27863115035.1,17922523821.3,3.51589439464e-10,24.0331668145,16.8628563769,69.778057072,-19.8989938461
58,21536160999.8,3113887295.85,4.54862278081e-11,68.4686794665,12.0631341719,20.5953822909,-20.6752883671
59,1650582453.05,72989109074.8,4.56447725162e-10,29.5472974022,49.1463838393,74.5411037334,-18.5582461769
60,1.13203596123e+11,1.15799241251e+11,8.01409742965e-10,66.9135706377,23.0206885029,55.318470538,-20.1500056053
61,3382506227.64,9.39415179673e+11,7.8368163197e-10,45.7048731627,49.5463141101,44.2027706317,-18.635098937
62,2141383465.65,2129801223.61,4.68641384584e-10,61.6732484666,57.521081798,28.0159053924,-18.6598538076
63,57164062439.9,6.18467293822e+11,9.19030787419e-10,15.7374355234,62.9301438199,46.339480648,-19.7937930245
